condition,model,test_case_id,problem,recipe,category,difficulty,cause_accuracy,solution_appropriateness,scientific_accuracy,overall
baseline,GPT-OSS 20B,40,"Raw onions are overpowering, causing a harsh ""sulfur"" bite and a lingering aftertaste that lasts for hours.",Pico de Gallo,ingredient prep,easy,0.18181818181818182,0.5,0.45454545454545453,0.3636
baseline,GPT-OSS 20B,41,"cannot find ""Lady Fingers"" in local UK/Ireland supermarkets for a Tiramisu recipe.",Tiramisu,substitution,easy,0.0,0.1875,0.0,0.075
baseline,GPT-OSS 20B,42,No dry milk available,No-Knead Whole Wheat Bread,substitution,medium,0.0,0.3,0.2857142857142857,0.1771
baseline,GPT-OSS 20B,43,cannot find lactose-free heavy cream and wants to know if melting butter into lactose-free half-and-half will work for ice cream.,Lactose-free Ice cream,substitution,medium,0.21428571428571427,0.3333333333333333,0.6363636363636364,0.3463
baseline,GPT-OSS 20B,44,needs a egg substitute for potato latkes that ensures they don't fall apart during frying.,Potato Latkes,substitution,easy,0.0,0.18181818181818182,0.3333333333333333,0.1394
baseline,GPT-OSS 20B,45,No vegetable oil,Whole Grain Banana Bread,substitution,medium,0.0,0.36363636363636365,0.3,0.2055
baseline,GPT-OSS 20B,46,"making Manakish (Za'atar Flatbread) but has no pre-mixed Za'atar and is allergic to sumac, the primary acid component.",Manakish Bi Za'atar,substitution,medium,0.2727272727272727,0.3125,0.2727272727272727,0.2886
baseline,GPT-OSS 20B,47,My pie crust shrinks down the sides while baking.,Blind-Baked Pie Crust,baking,easy,0.2857142857142857,0.4444444444444444,0.25,0.3421
baseline,GPT-OSS 20B,48,My blind-baked crust puffs up despite pie weights.,Blind-Baked Pie Crust,baking,medium,0.16666666666666666,0.3333333333333333,0.25,0.25
baseline,GPT-OSS 20B,49,The edges of my pie crust brown too quickly.,Double-Crust Fruit Pie,baking,easy,0.0,0.5555555555555556,0.5,0.3222
baseline,GPT-OSS 20B,50,My lattice top collapsed into the filling during baking.,Lattice-Top Fruit Pie,baking,medium,0.3333333333333333,0.375,0.0,0.2833
baseline,GPT-OSS 20B,51,My fruit pie filling never sets even after cooling.,Apple Pie,starch cookery,medium,0.0,0.375,0.0,0.15
baseline,GPT-OSS 20B,52,My pie crust looks dull and pale.,Hand Pie Crust,substitution,easy,0.0,0.16666666666666666,0.5,0.1667
baseline,GPT-OSS 20B,53,Bottom crust is fully baked but tastes tough.,Single-Crust Pie,baking,medium,0.3333333333333333,0.0,0.25,0.1833
baseline,GPT-OSS 20B,54,My crimped edges lost their shape in the oven.,Decorative Pie Crust,baking,easy,0.2,0.5,0.0,0.28
baseline,GPT-OSS 20B,55, My fruit boiled over and burned on the oven floor.,Berry Pie,baking,medium,0.14285714285714285,0.6666666666666666,0.0,0.3238
baseline,GPT-OSS 20B,56,My pie filling is cloudy instead of glossy.,Cherry Pie,substitution,medium,0.0,0.16666666666666666,0.0,0.0667
baseline,GPT-OSS 20B,57,My pie leaks butter during baking.,All-Butter Pie Crust,baking,easy,0.2,0.2857142857142857,0.5714285714285714,0.3086
baseline,GPT-OSS 20B,58,The bottom crust is greasy instead of crisp.,Custard Pie,baking,medium,0.0,0.2222222222222222,0.25,0.1389
baseline,GPT-OSS 20B,59,My pie filling bubbles unevenly.,Apple Pie,baking,easy,0.4,0.25,0.0,0.26
baseline,GPT-OSS 20B,60,My crust blistered and formed bubbles after baking.,Blind-Baked Pie Crust,baking,easy,0.2,0.0,0.25,0.13
baseline,LLaMA 3.1 8B,1,My hollandaise sauce is thin and won't thicken up.,Hollandaise Sauce,sauce emulsions,medium,0.0,0.14285714285714285,0.45454545454545453,0.1481
baseline,LLaMA 3.1 8B,2,My steak is gray and has no crust after searing.,Pan-Seared Ribeye Steak,protein cookery,easy,0.16666666666666666,0.0625,0.4444444444444444,0.1806
baseline,LLaMA 3.1 8B,3,My chocolate ganache looks grainy and oily.,Chocolate Ganache,sauce emulsions,medium,0.0,0.0,0.2222222222222222,0.0444
baseline,LLaMA 3.1 8B,4,My hard-boiled eggs are impossible to peel.,Hard-Boiled Eggs,protein cookery,easy,0.2,0.08333333333333333,0.3,0.1733
baseline,LLaMA 3.1 8B,5,My pesto turned brown almost immediately.,Blanched Basil Pesto,sauce emulsions,easy,0.1,0.25,0.18181818181818182,0.1764
baseline,LLaMA 3.1 8B,6,My cookies spread into one giant flat sheet.,Chocolate Chip Cookies,baking,easy,0.1111111111111111,0.36363636363636365,0.1,0.2099
baseline,LLaMA 3.1 8B,7,My scrambled eggs are weeping water and are rubbery.,Scrambled Eggs,protein cookery,easy,0.15384615384615385,0.1111111111111111,0.1,0.126
baseline,LLaMA 3.1 8B,8,My mac and cheese sauce is grainy and the cheese is clumping.,Macaroni and Cheese,starch emulsions,easy,0.0,0.09090909090909091,0.09090909090909091,0.0545
baseline,LLaMA 3.1 8B,9,My burgers are falling apart on the grill.,Ultra-Smashed Burger,protein cookery,easy,0.041666666666666664,0.10344827586206896,0.09090909090909091,0.0762
baseline,LLaMA 3.1 8B,10,My garlic turned bitter and black in the oil.,Spaghetti Aglio e Olio,protein cookery,easy,0.125,0.2222222222222222,0.2,0.1789
baseline,LLaMA 3.1 8B,11,My mayonnaise won't emulsify; it's just oil and yellow liquid.,Immersion Blender Mayo,sauce emulsions,medium,0.07692307692307693,0.07142857142857142,0.4166666666666667,0.1427
baseline,LLaMA 3.1 8B,12,My chicken breast is dry and stringy.,Pan-Roasted Chicken Breast,protein cookery,medium,0.0,0.27586206896551724,0.0,0.1103
baseline,LLaMA 3.1 8B,13,My stir-fry is soggy and boiling in its own juice.,Vegetable Stir-Fry,protein cookery,medium,0.0,0.42857142857142855,0.25,0.2214
baseline,LLaMA 3.1 8B,14,My whipped cream is turning into lumpy butter.,Whipped Cream,sauce emulsions,easy,0.0,0.2222222222222222,0.5454545454545454,0.198
baseline,LLaMA 3.1 8B,15,My mashed potatoes are sticky like glue.,Mashed Potatoes,baking,easy,0.0,0.0,0.2,0.04
baseline,LLaMA 3.1 8B,16,My chocolate chips seized into a dry clump in the microwave.,Microwave Chocolate Ganache,sauce emulsions,easy,0.2222222222222222,0.0,0.5555555555555556,0.2
baseline,LLaMA 3.1 8B,17,My vinaigrette separates the second I stop shaking it.,Vinaigrette,sauce emulsions,easy,0.0,0.0,0.08333333333333333,0.0167
baseline,LLaMA 3.1 8B,18,My rice is mushy and stuck together.,White Rice,starch cookery,easy,0.0,0.06060606060606061,0.2,0.0642
baseline,LLaMA 3.1 8B,19,My muffins have huge holes (tunnels) inside.,Blueberry Muffins,baking,easy,0.0,0.4444444444444444,0.18181818181818182,0.2141
baseline,LLaMA 3.1 8B,20,My caramel is grainy and full of sugar crystals.,Caramel Sauce,sauce emulsions,medium,0.0,0.125,0.3,0.11
baseline,LLaMA 3.1 8B,21,"Chicken breast is dry, tough, and lacks the signature juicy/springy texture.",Hainanese Chicken Rice,protein cookery,medium,0.0625,0.3076923076923077,0.09090909090909091,0.1663
baseline,LLaMA 3.1 8B,22,"Bottled black truffle is flavorless or ""rubbery"" when cooked on pizza.",Truffle & Mushroom Pizza,baking,easy,0.16666666666666666,0.3,0.45454545454545453,0.2776
baseline,LLaMA 3.1 8B,23,"Mushroom sauce is too thin/light and lacks a rich, glossy texture.",White wine & Mushroom Sauce,sauce emulsions,easy,0.1111111111111111,0.09090909090909091,0.6363636363636364,0.2081
baseline,LLaMA 3.1 8B,24,Curry paste is overwhelmingly bitter and borderline inedible because the white lemon pith was processed into the paste instead of just the zest.,Thai Curry Paste,ingredient prep,medium,0.3,0.05263157894736842,0.14285714285714285,0.1696
baseline,LLaMA 3.1 8B,25,"The green curry is dark, oily, and the delicate herbal notes are drowned out after using coconut paste as a 1:1 substitute for milk.",Thai Green Curry,thai,medium,0.3125,0.0625,0.0,0.15
baseline,LLaMA 3.1 8B,26,"The Sichuan pepper provides no numbing sensation or flavor (tastes like ""dust"") even after being ground into a fine powder",Sichuan Chilli Oil,chinese,easy,0.0,0.15384615384615385,0.1,0.0815
baseline,LLaMA 3.1 8B,27,"The soup remains thin and watery, or the starch forms ""dumplings"" (clumps) instead of thickening the broth evenly.",Egg Drop Soup,soup,easy,0.15384615384615385,0.17647058823529413,0.16666666666666666,0.1655
baseline,LLaMA 3.1 8B,28,"Monkfish cheeks are inedibly salty and slightly ""cured"" after being left in the fridge with too much salt for too long.",Pan-Seared Monkfish Cheeks,seafood,medium,0.08333333333333333,0.26666666666666666,0.2,0.18
baseline,LLaMA 3.1 8B,29,"The vegan ice cream has a grainy, ""oatmeal-like"" texture and a heavy, dense mouthfeel instead of being smooth and creamy.",Matcha Tofu Ice Cream,dessert,easy,0.0,0.047619047619047616,0.2,0.059
baseline,LLaMA 3.1 8B,30,No instant yeast,Yeasted Banana Sandwich Bread,substitution,medium,0.0,0.5714285714285714,0.14285714285714285,0.2571
baseline,LLaMA 3.1 8B,31,"Sautéed mushrooms are rubbery, tough, and ""slimy"" instead of being tender and meaty.",Sautéed Cremini Mushrooms,ingredient prep,easy,0.0,0.125,0.2857142857142857,0.1071
baseline,LLaMA 3.1 8B,32,"The black sesame paste remains stuck in a crumbly, sandy texture and won't turn into a smooth, glossy liquid despite 60 minutes of processing.",Black Sesame Paste,ingredient prep,medium,0.0,0.20833333333333334,0.0,0.0833
baseline,LLaMA 3.1 8B,33,My pie crust cracks and breaks apart while I am rolling it out.,Classic Pie Crust,baking,medium,0.0,0.2,0.25,0.13
baseline,LLaMA 3.1 8B,34,"The cakes fail to ""bloom"" (split open) and instead result in dense, domed tops similar to standard cupcakes due to using flour instead of arrowroot powder",Vietnamese Bánh Thuẫn,baking,hard,0.5,0.2222222222222222,0.09090909090909091,0.3071
baseline,LLaMA 3.1 8B,35,The bottom of my fruit pie is pale and soggy after baking.,Berry Pie,baking,easy,0.07692307692307693,0.09090909090909091,0.0,0.0671
baseline,LLaMA 3.1 8B,36,My cake sank in the center after taking it out of the oven.,Vanilla Layer Cake,baking,easy,0.125,0.14285714285714285,0.0,0.1071
baseline,LLaMA 3.1 8B,37,"The frosting is overly soft, soup-like, and fails to hold a peak after substituting 100% of the butter with cream cheese.",Swiss Meringue Buttercream,baking,medium,0.35714285714285715,0.2857142857142857,0.4,0.3371
baseline,LLaMA 3.1 8B,38,The giant octopus legs turned out tough and rubbery despite being pre-tenderized before cooking.,Grilled Giant Octopus Legs,seafood,medium,0.07142857142857142,0.0,0.2727272727272727,0.0831
baseline,LLaMA 3.1 8B,39,"The cookie spread is extremely grainy and ""sandy"" despite high-speed blending to the point of the mixture steaming.",Biscoff Cookie Spread,dessert,medium,0.0,0.13333333333333333,0.18181818181818182,0.0897
baseline,LLaMA 3.1 8B,40,"Raw onions are overpowering, causing a harsh ""sulfur"" bite and a lingering aftertaste that lasts for hours.",Pico de Gallo,ingredient prep,easy,0.18181818181818182,0.1111111111111111,0.36363636363636365,0.1899
baseline,LLaMA 3.1 8B,41,"cannot find ""Lady Fingers"" in local UK/Ireland supermarkets for a Tiramisu recipe.",Tiramisu,substitution,easy,0.75,0.375,0.0,0.45
baseline,LLaMA 3.1 8B,42,No dry milk available,No-Knead Whole Wheat Bread,substitution,medium,0.0,0.2,0.2857142857142857,0.1371
baseline,LLaMA 3.1 8B,43,cannot find lactose-free heavy cream and wants to know if melting butter into lactose-free half-and-half will work for ice cream.,Lactose-free Ice cream,substitution,medium,0.07142857142857142,0.06666666666666667,0.45454545454545453,0.1461
baseline,LLaMA 3.1 8B,44,needs a egg substitute for potato latkes that ensures they don't fall apart during frying.,Potato Latkes,substitution,easy,0.0,0.18181818181818182,0.3333333333333333,0.1394
baseline,LLaMA 3.1 8B,45,No vegetable oil,Whole Grain Banana Bread,substitution,medium,0.0,0.18181818181818182,0.2,0.1127
baseline,LLaMA 3.1 8B,46,"making Manakish (Za'atar Flatbread) but has no pre-mixed Za'atar and is allergic to sumac, the primary acid component.",Manakish Bi Za'atar,substitution,medium,0.0,0.4375,0.18181818181818182,0.2114
baseline,LLaMA 3.1 8B,47,My pie crust shrinks down the sides while baking.,Blind-Baked Pie Crust,baking,easy,0.14285714285714285,0.2222222222222222,0.25,0.196
baseline,LLaMA 3.1 8B,48,My blind-baked crust puffs up despite pie weights.,Blind-Baked Pie Crust,baking,medium,0.0,0.1111111111111111,0.25,0.0944
baseline,LLaMA 3.1 8B,49,The edges of my pie crust brown too quickly.,Double-Crust Fruit Pie,baking,easy,0.0,0.6666666666666666,0.5,0.3667
baseline,LLaMA 3.1 8B,50,My lattice top collapsed into the filling during baking.,Lattice-Top Fruit Pie,baking,medium,0.16666666666666666,0.5,0.0,0.2667
baseline,LLaMA 3.1 8B,51,My fruit pie filling never sets even after cooling.,Apple Pie,starch cookery,medium,0.25,0.0,0.0,0.1
baseline,LLaMA 3.1 8B,52,My pie crust looks dull and pale.,Hand Pie Crust,substitution,easy,0.0,0.0,0.25,0.05
baseline,LLaMA 3.1 8B,53,Bottom crust is fully baked but tastes tough.,Single-Crust Pie,baking,medium,0.16666666666666666,0.125,0.25,0.1667
baseline,LLaMA 3.1 8B,54,My crimped edges lost their shape in the oven.,Decorative Pie Crust,baking,easy,0.2,0.5,0.0,0.28
baseline,LLaMA 3.1 8B,55, My fruit boiled over and burned on the oven floor.,Berry Pie,baking,medium,0.0,0.0,0.0,0.0
baseline,LLaMA 3.1 8B,56,My pie filling is cloudy instead of glossy.,Cherry Pie,substitution,medium,0.0,0.0,0.0,0.0
baseline,LLaMA 3.1 8B,57,My pie leaks butter during baking.,All-Butter Pie Crust,baking,easy,0.0,0.5714285714285714,0.5714285714285714,0.3429
baseline,LLaMA 3.1 8B,58,The bottom crust is greasy instead of crisp.,Custard Pie,baking,medium,0.0,0.0,0.25,0.05
baseline,LLaMA 3.1 8B,59,My pie filling bubbles unevenly.,Apple Pie,baking,easy,0.4,0.0,0.0,0.16
baseline,LLaMA 3.1 8B,60,My crust blistered and formed bubbles after baking.,Blind-Baked Pie Crust,baking,easy,0.0,0.0,0.25,0.05
baseline,LLaMA 3.3 70B,1,My hollandaise sauce is thin and won't thicken up.,Hollandaise Sauce,sauce emulsions,medium,0.15384615384615385,0.35714285714285715,0.36363636363636365,0.2771
baseline,LLaMA 3.3 70B,2,My steak is gray and has no crust after searing.,Pan-Seared Ribeye Steak,protein cookery,easy,0.16666666666666666,0.5,0.3333333333333333,0.3333
baseline,LLaMA 3.3 70B,3,My chocolate ganache looks grainy and oily.,Chocolate Ganache,sauce emulsions,medium,0.1111111111111111,0.1,0.3333333333333333,0.1511
baseline,LLaMA 3.3 70B,4,My hard-boiled eggs are impossible to peel.,Hard-Boiled Eggs,protein cookery,easy,0.1,0.25,0.3,0.2
baseline,LLaMA 3.3 70B,5,My pesto turned brown almost immediately.,Blanched Basil Pesto,sauce emulsions,easy,0.1,0.08333333333333333,0.2727272727272727,0.1279
baseline,LLaMA 3.3 70B,6,My cookies spread into one giant flat sheet.,Chocolate Chip Cookies,baking,easy,0.2222222222222222,0.2727272727272727,0.1,0.218
baseline,LLaMA 3.3 70B,7,My scrambled eggs are weeping water and are rubbery.,Scrambled Eggs,protein cookery,easy,0.15384615384615385,0.2777777777777778,0.1,0.1926
baseline,LLaMA 3.3 70B,8,My mac and cheese sauce is grainy and the cheese is clumping.,Macaroni and Cheese,starch emulsions,easy,0.23076923076923078,0.18181818181818182,0.36363636363636365,0.2378
baseline,LLaMA 3.3 70B,9,My burgers are falling apart on the grill.,Ultra-Smashed Burger,protein cookery,easy,0.0,0.06896551724137931,0.2727272727272727,0.0821
baseline,LLaMA 3.3 70B,10,My garlic turned bitter and black in the oil.,Spaghetti Aglio e Olio,protein cookery,easy,0.125,0.3333333333333333,0.1,0.2033
baseline,LLaMA 3.3 70B,11,My mayonnaise won't emulsify; it's just oil and yellow liquid.,Immersion Blender Mayo,sauce emulsions,medium,0.23076923076923078,0.14285714285714285,0.3333333333333333,0.2161
baseline,LLaMA 3.3 70B,12,My chicken breast is dry and stringy.,Pan-Roasted Chicken Breast,protein cookery,medium,0.11764705882352941,0.2413793103448276,0.0,0.1436
baseline,LLaMA 3.3 70B,13,My stir-fry is soggy and boiling in its own juice.,Vegetable Stir-Fry,protein cookery,medium,0.0,0.42857142857142855,0.16666666666666666,0.2048
baseline,LLaMA 3.3 70B,14,My whipped cream is turning into lumpy butter.,Whipped Cream,sauce emulsions,easy,0.0,0.1111111111111111,0.45454545454545453,0.1354
baseline,LLaMA 3.3 70B,15,My mashed potatoes are sticky like glue.,Mashed Potatoes,baking,easy,0.0,0.2727272727272727,0.2,0.1491
baseline,LLaMA 3.3 70B,16,My chocolate chips seized into a dry clump in the microwave.,Microwave Chocolate Ganache,sauce emulsions,easy,0.0,0.0,0.3333333333333333,0.0667
baseline,LLaMA 3.3 70B,17,My vinaigrette separates the second I stop shaking it.,Vinaigrette,sauce emulsions,easy,0.1111111111111111,0.0,0.08333333333333333,0.0611
baseline,LLaMA 3.3 70B,18,My rice is mushy and stuck together.,White Rice,starch cookery,easy,0.13333333333333333,0.09090909090909091,0.2,0.1297
baseline,LLaMA 3.3 70B,19,My muffins have huge holes (tunnels) inside.,Blueberry Muffins,baking,easy,0.0,0.4444444444444444,0.18181818181818182,0.2141
baseline,LLaMA 3.3 70B,20,My caramel is grainy and full of sugar crystals.,Caramel Sauce,sauce emulsions,medium,0.0,0.0,0.2,0.04
baseline,LLaMA 3.3 70B,21,"Chicken breast is dry, tough, and lacks the signature juicy/springy texture.",Hainanese Chicken Rice,protein cookery,medium,0.0625,0.38461538461538464,0.09090909090909091,0.197
baseline,LLaMA 3.3 70B,22,"Bottled black truffle is flavorless or ""rubbery"" when cooked on pizza.",Truffle & Mushroom Pizza,baking,easy,0.16666666666666666,0.3,0.18181818181818182,0.223
baseline,LLaMA 3.3 70B,23,"Mushroom sauce is too thin/light and lacks a rich, glossy texture.",White wine & Mushroom Sauce,sauce emulsions,easy,0.1111111111111111,0.36363636363636365,0.18181818181818182,0.2263
baseline,LLaMA 3.3 70B,24,Curry paste is overwhelmingly bitter and borderline inedible because the white lemon pith was processed into the paste instead of just the zest.,Thai Curry Paste,ingredient prep,medium,0.7,0.0,0.14285714285714285,0.3086
baseline,LLaMA 3.3 70B,25,"The green curry is dark, oily, and the delicate herbal notes are drowned out after using coconut paste as a 1:1 substitute for milk.",Thai Green Curry,thai,medium,0.25,0.25,0.0,0.2
baseline,LLaMA 3.3 70B,26,"The Sichuan pepper provides no numbing sensation or flavor (tastes like ""dust"") even after being ground into a fine powder",Sichuan Chilli Oil,chinese,easy,0.16666666666666666,0.3076923076923077,0.1,0.2097
baseline,LLaMA 3.3 70B,27,"The soup remains thin and watery, or the starch forms ""dumplings"" (clumps) instead of thickening the broth evenly.",Egg Drop Soup,soup,easy,0.15384615384615385,0.4117647058823529,0.25,0.2762
baseline,LLaMA 3.3 70B,28,"Monkfish cheeks are inedibly salty and slightly ""cured"" after being left in the fridge with too much salt for too long.",Pan-Seared Monkfish Cheeks,seafood,medium,0.08333333333333333,0.4,0.2,0.2333
baseline,LLaMA 3.3 70B,29,"The vegan ice cream has a grainy, ""oatmeal-like"" texture and a heavy, dense mouthfeel instead of being smooth and creamy.",Matcha Tofu Ice Cream,dessert,easy,0.1,0.19047619047619047,0.2,0.1562
baseline,LLaMA 3.3 70B,30,No instant yeast,Yeasted Banana Sandwich Bread,substitution,medium,0.5,0.5714285714285714,0.42857142857142855,0.5143
baseline,LLaMA 3.3 70B,31,"Sautéed mushrooms are rubbery, tough, and ""slimy"" instead of being tender and meaty.",Sautéed Cremini Mushrooms,ingredient prep,easy,0.46153846153846156,0.0625,0.42857142857142855,0.2953
baseline,LLaMA 3.3 70B,32,"The black sesame paste remains stuck in a crumbly, sandy texture and won't turn into a smooth, glossy liquid despite 60 minutes of processing.",Black Sesame Paste,ingredient prep,medium,0.05555555555555555,0.125,0.0,0.0722
baseline,LLaMA 3.3 70B,33,My pie crust cracks and breaks apart while I am rolling it out.,Classic Pie Crust,baking,medium,0.16666666666666666,0.4,0.25,0.2767
baseline,LLaMA 3.3 70B,34,"The cakes fail to ""bloom"" (split open) and instead result in dense, domed tops similar to standard cupcakes due to using flour instead of arrowroot powder",Vietnamese Bánh Thuẫn,baking,hard,0.375,0.3333333333333333,0.2727272727272727,0.3379
baseline,LLaMA 3.3 70B,35,The bottom of my fruit pie is pale and soggy after baking.,Berry Pie,baking,easy,0.07692307692307693,0.18181818181818182,0.0,0.1035
baseline,LLaMA 3.3 70B,36,My cake sank in the center after taking it out of the oven.,Vanilla Layer Cake,baking,easy,0.0,0.21428571428571427,0.0,0.0857
